Legendary Hunter; imageUrl; Unlock Cost; Description
Zhong Kui; ZhongKui.jpg; DLC; Descendant of an ancient line of demon quellers, the man who now calls himself Zhong Kui is associated with the five bats, representing the five fortunes: longevity, wealth, health, virtue and peaceful death. Yet these are not a Hunter's fortune - only death - and the four bats represent the curse - and blessing - of death that awaits Zhong and his companion.
Dead Blessing; DeadBlessing.jpg; DLC; Though she does not speak of her past, her name speaks volumes of both her talents - and her fate. Though her journey to America with Zhong Kui was made the more perilous by bans on Chinese immigration, Louisiana Hunters were grateful for the duo's arrival, if not also intimidated in the field.
Redneck; Redneck.jpg;500; William Moses, proud proprietor of Moses Poultry, is anything but chicken.
The Archaeologist; TheArchaeologist.jpg; DLC; Elise Austin made her name trying to understand and protect the archaeological footprints of the Hopi people. This led her to the legend of the Destruction of Palatkwapi, a myth with which she became obsessed - to the detrment of her hard-won reputation. Drifting through the desert, a dream came to her: two children tumbling into black water. Recognizing the image's important, she followed it, like so many others, into the bayou.
Felis; Felis.jpg; 700; Accomplices to the devil, stealers of souls, and an ill omen – cats have long been associated with dark magic, and Nika Felis bears the skull of one feline adversary on her head as a warning to others that she has capabilities as powerful – and as dangerous. Rumored to be a shapeshifter, and a colleague of Doctor John.
Billy Story; BillyStory.jpg; Twitch Drop; Few who encountered this New Orleans “gentleman" would ever forget him – be it for his strange and extravagant dress, his raucous sense of humor, or the content of his infamous Blue Books.
The Revenant; TheRevenant.jpg; DLC; John Robertson wanted to be remarkable: to be a hero or, failing that to die one. In the end, he failed at both: unceremoniously shot through the heart during a poker game, he found himself at that crossroads, though he would prove to be one of the few to choose the road back to life, guided by the chanting of the Night Speaker.
Ronin; Ronin.jpg; DLC; Inuta Bakin had barely sworn his oath of allegiance before the Tokugawa shogunate was disposed. Without a master, he has wandered further than most Ronin, seeking the power to take revenge. Something of a traditionalist, he dresses and fights in a style stretching back centuries, but still effective: his leering Oni mask has been the last sight of many to fall in the bayou.
Skinflint; Skinflint.jpg; Christmas 2020 Reward; One dreary winter's night Timothy Stone bore witness to three strange apparitions, each bearing portents of his past, present, and future. Whether real or an invention of his warped mind, the experience convinced Stone to pledge his life to the AHA, where he would be known for being slow to his wallet but quick to his rifle. Ever the accountant, his ledger now contains a reckoning of the souls he has removed from his Earth.
Carter; Carter.jpg; DLC; William Carter was a sharpshooter, and the inventor of many a curious new attraction for the Wild West Shows he starred in. Ever the showman, he fictionalized most of his life story, and though no one knows his true origins two things are clear: he’s a fearsome shot with an extravagant sense of humor – and adventure.
North Star; NorthStar.jpg; DLC; A student of mythology and a master of the Five Forms, Chen Lan answered the call for aid from the American Hunter’s Association, eager to gain knowledge that might aid the fight on her home turf. She keeps silent about the details of her journey from the Fujian province to New Orleans, though her skill with a gun and fondness for violence speaks volumes about the red trail she cut from East to West.
The Sovereign; TheSovereign.jpg; DLC; An expert strategist and sniper of otherworldly skill, Xiao Feng left Fujian province with his hunting partner, Chen Lan, crossing the globe in a sweep of bloody encounters over land and sea. Rumors of the duo’s deadly skill preceded their arrival in New Orleans, and they were welcomed into the fold of the AHA with reverence befitting the highest nobility.
Plague Doctor; PlagueDoctor.jpg; As the Crow Flies Reward; The Plague Doctor, it's rumored, lost his mind fighting a resurgent outbreak of the Black Plague abroad. A burning rage took hold of him and drove him to the old ways: first to masks, ambergris, and laundanum, then to cabalistic ritual and macabre science. Convinced that New Orleans represents a new evolution of the pestilence, he arrived to treat it with fire, lead, and his own array of ministrations.
The Prodigal Daughter; TheProdigalDaughter.jpg; DLC; Stories about her mother's heroism as a Union spy during the Civil War were Sarah Burton's only inheritance. So after the funeral, she donned her mother's uniform, setting out to live up to that example, and avenge the cruel circumstances of her mother's death. In the Bayou, Burton found what she sought - and her only chance for atonement.
Hail Mary; HailMary.jpg; 900; In Holy Communion, Mary Burgess had her first taste of blood. In defense of her convent, her second. And in the Bayou, her third, where she - disgraced and excommunicated - dedicated her righteous fury to spilling the unholy blood of the corrupted, in hopes of fighting her way back to the light.
